date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:36:14	287/287	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2014%20Jan%202015%2002:36:14%20GMT	http://docs.opencv.org/robots.txt		(from )
09:36:14	2681/2681	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2002:36:15%20GMT	http://docs.opencv.org/java/	C:/My%20Web%20Sites/OpenCV%20Java%20API/docs.opencv.org/java/index.html	(from )
09:36:18	1774/1774	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2002:36:16%20GMT	http://docs.opencv.org/java/overview-frame.html	C:/My%20Web%20Sites/OpenCV%20Java%20API/docs.opencv.org/java/overview-frame.html	(from http://docs.opencv.org/java/)
09:36:20	11707/11707	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2002:36:20%20GMT	http://docs.opencv.org/java/allclasses-frame.html	C:/My%20Web%20Sites/OpenCV%20Java%20API/docs.opencv.org/java/allclasses-frame.html	(from http://docs.opencv.org/java/)
09:36:23	5301/5301	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2002:36:24%20GMT	http://docs.opencv.org/java/overview-summary.html	C:/My%20Web%20Sites/OpenCV%20Java%20API/docs.opencv.org/java/overview-summary.html	(from http://docs.opencv.org/java/)
09:36:25	9273/9273	---M--	200	added ('OK')	text/css	etag:%22b01ebe6c-2439-4f78d43e0e757%22	http://docs.opencv.org/java/stylesheet.css	C:/My%20Web%20Sites/OpenCV%20Java%20API/docs.opencv.org/java/stylesheet.css	(from http://docs.opencv.org/java/overview-frame.html)
09:36:28	2799/2799	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2002:36:26%20GMT	http://docs.opencv.org/java/org/opencv/android/package-frame.html	C:/My%20Web%20Sites/OpenCV%20Java%20API/docs.opencv.org/java/org/opencv/android/package-frame.html	(from http://docs.opencv.org/java/overview-frame.html)
09:36:29	942/942	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2002:36:30%20GMT	http://docs.opencv.org/java/org/opencv/calib3d/package-frame.html	C:/My%20Web%20Sites/OpenCV%20Java%20API/docs.opencv.org/java/org/opencv/calib3d/package-frame.html	(from http://docs.opencv.org/java/overview-frame.html)
09:36:36	3524/3524	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2002:36:33%20GMT	http://docs.opencv.org/java/org/opencv/core/package-frame.html	C:/My%20Web%20Sites/OpenCV%20Java%20API/docs.opencv.org/java/org/opencv/core/package-frame.html	(from http://docs.opencv.org/java/overview-frame.html)
09:36:37	1464/1464	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2002:36:35%20GMT	http://docs.opencv.org/java/org/opencv/features2d/package-frame.html	C:/My%20Web%20Sites/OpenCV%20Java%20API/docs.opencv.org/java/org/opencv/features2d/package-frame.html	(from http://docs.opencv.org/java/overview-frame.html)
09:36:37	844/844	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2002:36:38%20GMT	http://docs.opencv.org/java/org/opencv/highgui/package-frame.html	C:/My%20Web%20Sites/OpenCV%20Java%20API/docs.opencv.org/java/org/opencv/highgui/package-frame.html	(from http://docs.opencv.org/java/overview-frame.html)
09:36:38	1032/1032	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2002:36:39%20GMT	http://docs.opencv.org/java/org/opencv/imgproc/package-frame.html	C:/My%20Web%20Sites/OpenCV%20Java%20API/docs.opencv.org/java/org/opencv/imgproc/package-frame.html	(from http://docs.opencv.org/java/overview-frame.html)
09:36:39	2550/2550	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2002:36:40%20GMT	http://docs.opencv.org/java/org/opencv/ml/package-frame.html	C:/My%20Web%20Sites/OpenCV%20Java%20API/docs.opencv.org/java/org/opencv/ml/package-frame.html	(from http://docs.opencv.org/java/overview-frame.html)
09:36:51	982/982	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2002:36:43%20GMT	http://docs.opencv.org/java/org/opencv/objdetect/package-frame.html	C:/My%20Web%20Sites/OpenCV%20Java%20API/docs.opencv.org/java/org/opencv/objdetect/package-frame.html	(from http://docs.opencv.org/java/overview-frame.html)
09:36:52	722/722	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2002:36:53%20GMT	http://docs.opencv.org/java/org/opencv/photo/package-frame.html	C:/My%20Web%20Sites/OpenCV%20Java%20API/docs.opencv.org/java/org/opencv/photo/package-frame.html	(from http://docs.opencv.org/java/overview-frame.html)
09:36:53	732/732	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2002:36:53%20GMT	http://docs.opencv.org/java/org/opencv/utils/package-frame.html	C:/My%20Web%20Sites/OpenCV%20Java%20API/docs.opencv.org/java/org/opencv/utils/package-frame.html	(from http://docs.opencv.org/java/overview-frame.html)
09:36:53	1216/1216	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2002:36:54%20GMT	http://docs.opencv.org/java/org/opencv/video/package-frame.html	C:/My%20Web%20Sites/OpenCV%20Java%20API/docs.opencv.org/java/org/opencv/video/package-frame.html	(from http://docs.opencv.org/java/overview-frame.html)
09:36:55	12144/12144	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2002:36:56%20GMT	http://docs.opencv.org/java/org/opencv/video/BackgroundSubtractor.html	C:/My%20Web%20Sites/OpenCV%20Java%20API/docs.opencv.org/java/org/opencv/video/BackgroundSubtractor.html	(from http://docs.opencv.org/java/allclasses-frame.html)
09:36:56	20659/20659	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2002:36:55%20GMT	http://docs.opencv.org/java/org/opencv/core/Algorithm.html	C:/My%20Web%20Sites/OpenCV%20Java%20API/docs.opencv.org/java/org/opencv/core/Algorithm.html	(from http://docs.opencv.org/java/allclasses-frame.html)
09:36:56	13906/13906	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2002:36:57%20GMT	http://docs.opencv.org/java/org/opencv/video/BackgroundSubtractorMOG.html	C:/My%20Web%20Sites/OpenCV%20Java%20API/docs.opencv.org/java/org/opencv/video/BackgroundSubtractorMOG.html	(from http://docs.opencv.org/java/allclasses-frame.html)
09:36:58	16809/16809	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2002:36:58%20GMT	http://docs.opencv.org/java/org/opencv/video/BackgroundSubtractorMOG2.html	C:/My%20Web%20Sites/OpenCV%20Java%20API/docs.opencv.org/java/org/opencv/video/BackgroundSubtractorMOG2.html	(from http://docs.opencv.org/java/allclasses-frame.html)
09:37:00	12153/12153	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2002:36:59%20GMT	http://docs.opencv.org/java/org/opencv/android/BaseLoaderCallback.html	C:/My%20Web%20Sites/OpenCV%20Java%20API/docs.opencv.org/java/org/opencv/android/BaseLoaderCallback.html	(from http://docs.opencv.org/java/allclasses-frame.html)
09:37:02	8054/8054	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2002:37:02%20GMT	http://docs.opencv.org/java/org/opencv/android/CameraBridgeViewBase.CvCameraViewFrame.html	C:/My%20Web%20Sites/OpenCV%20Java%20API/docs.opencv.org/java/org/opencv/android/CameraBridgeViewBase.CvCameraViewFrame.html	(from http://docs.opencv.org/java/allclasses-frame.html)
09:37:02	22511/22511	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2002:37:01%20GMT	http://docs.opencv.org/java/org/opencv/android/CameraBridgeViewBase.html	C:/My%20Web%20Sites/OpenCV%20Java%20API/docs.opencv.org/java/org/opencv/android/CameraBridgeViewBase.html	(from http://docs.opencv.org/java/allclasses-frame.html)
09:37:04	9509/9509	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2002:37:03%20GMT	http://docs.opencv.org/java/org/opencv/android/CameraBridgeViewBase.CvCameraViewListener.html	C:/My%20Web%20Sites/OpenCV%20Java%20API/docs.opencv.org/java/org/opencv/android/CameraBridgeViewBase.CvCameraViewListener.html	(from http://docs.opencv.org/java/allclasses-frame.html)
09:37:04	9753/9753	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2002:37:05%20GMT	http://docs.opencv.org/java/org/opencv/android/CameraBridgeViewBase.CvCameraViewListener2.html	C:/My%20Web%20Sites/OpenCV%20Java%20API/docs.opencv.org/java/org/opencv/android/CameraBridgeViewBase.CvCameraViewListener2.html	(from http://docs.opencv.org/java/allclasses-frame.html)
09:37:06	7768/7768	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2002:37:06%20GMT	http://docs.opencv.org/java/org/opencv/android/CameraBridgeViewBase.ListItemAccessor.html	C:/My%20Web%20Sites/OpenCV%20Java%20API/docs.opencv.org/java/org/opencv/android/CameraBridgeViewBase.ListItemAccessor.html	(from http://docs.opencv.org/java/allclasses-frame.html)
09:37:13	23084/23084	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2002:37:10%20GMT	http://docs.opencv.org/java/org/opencv/objdetect/CascadeClassifier.html	C:/My%20Web%20Sites/OpenCV%20Java%20API/docs.opencv.org/java/org/opencv/objdetect/CascadeClassifier.html	(from http://docs.opencv.org/java/allclasses-frame.html)
09:37:14	9917/9917	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2002:37:11%20GMT	http://docs.opencv.org/java/org/opencv/imgproc/CLAHE.html	C:/My%20Web%20Sites/OpenCV%20Java%20API/docs.opencv.org/java/org/opencv/imgproc/CLAHE.html	(from http://docs.opencv.org/java/allclasses-frame.html)
